Amplitude,RR,Arritmia
0.918632070124893,0.872222222292,(N
1.07035887569268,0.87500000007,(N
1.00747534543356,0.891666666738,(N
1.0243641868242,0.933333333408,(N
0.909587583542613,0.952777777854,(N
0.949626710415752,0.90277777785,(N
1.24939988970851,0.869444444514,(N
1.19657840758653,0.866666666736,(N
1.1192327535161,0.861111111179999,(N
1.04881136447269,0.916666666740001,(N
1.07584428459489,0.913888888961999,(N
1.07143904984079,0.916666666740001,(N
1.09186295002777,0.897222222293999,(N
1.03271032363252,0.905555555628,(N
0.812792145610561,0.886111111182,(N
1.13683711767277,0.866666666736,(N
1.06687205940562,0.911111111183999,(N
0.833540427089425,0.916666666740001,(N
1.03527198821382,0.900000000071998,(N
1.08208809256631,0.84722222229,(N
1.05921124279576,0.841666666734,(N
0.947378630936907,0.866666666736002,(N
0.834810640514632,0.88888888896,(N
0.845465165377381,0.897222222293998,(N
0.766285735071449,0.88888888896,(N
1.00011864721861,0.858333333402001,(N
1.12927653342567,0.852777777846001,(N
0.961422931552671,0.844444444512,(N
1.08134512633165,0.819444444509998,(N
1.11761415481646,0.855555555624001,(N
1.12895211190061,0.902777777850002,(N
0.925262732506505,0.911111111183999,(N
1.00439512968146,0.855555555624001,(N
1.00491193175409,0.838888888955999,(N
1.13758470624785,0.813888888954001,(N
1.29513564169512,0.794444444507999,(N
1.3211523637185,0.802777777842,(N
1.4783444842706,0.805555555620003,(N
1.40549883246521,0.800000000063996,(N
1.3795400011549,0.788888888952002,(N
1.21529749333952,0.805555555619996,(N
1.14632837504239,0.755555555616006,(N
1.07498262971734,0.761111111171999,(N
1.25882757186987,0.786111111173994,(N
1.36225320726728,0.802777777842003,(N
1.40386011034339,0.841666666734,(N
1.33806540995925,0.855555555624001,(N
1.16823818922133,0.786111111174002,(N
1.11952942460863,0.755555555615999,(N
1.10082878679119,0.772222222284,(N
1.09352769821963,0.797222222286003,(N
0.987869361043765,0.808333333397997,(N
1.00915130406691,0.830555555621999,(N
1.1717603105314,0.84722222229,(N
1.12330376595333,0.836111111177999,(N
0.955859729648351,0.816666666732004,(N
0.910538400114305,0.780555555618001,(N
0.92280899912193,0.783333333395994,(N
1.01168752938585,0.791666666730002,(N
0.976215156615486,0.825000000065998,(N
0.957845603228317,0.811111111176004,(N
0.909761693776376,0.802777777841996,(N
0.87908354640079,0.808333333398004,(N
0.908386078775722,0.808333333397997,(N
1.03339948296628,0.838888888955999,(N
0.833204273582291,0.869444444514002,(N
0.860580995679709,0.888888888959997,(N
0.901004040838079,0.911111111184006,(N
0.871853496731085,0.955555555631996,(N
0.975975582302428,0.925000000074,(N
1.04410508394326,0.861111111180001,(N
1.02266351491293,0.894444444515997,(N
0.976386727393473,0.891666666738004,(N
0.904873354137728,0.916666666739999,(N
1.01236928552469,0.958333333410003,(N
1.08792815089303,0.916666666739999,(N
1.14587403059087,0.883333333403996,(N
1.22616882443509,0.875000000070003,(N
1.27192428588948,0.872222222291995,(N
1.19905130714257,0.880555555626003,(N
1.21258758276779,0.886111111182004,(N
1.12154774814919,0.927777777852,(N
0.967961007655399,0.919444444517993,(N
0.942054855228237,0.844444444512007,(N
1.03696998000225,0.836111111177999,(N
1.1368161460765,0.911111111183999,(N
1.03404034763651,0.916666666739999,(N
0.879325735271735,0.930555555629994,(N
0.994020989240072,0.886111111182004,(N
1.22324495136834,0.866666666735995,(N
