Amplitude,RR,Arritmia
1.20267609894385,1.95277777793399,(T
1.31084911823391,1.85833333348199,(T
1.40936486244317,1.81388888903399,(T
1.4444505590212,1.83333333347997,(T
1.37200675308819,1.81944444459003,(T
1.29370351284847,1.844444444592,(T
1.3787795636069,1.86388888903809,(T
1.33866372972828,1.89444444459605,(T
1.12335506111488,1.84166666681404,(T
1.25814818680403,1.844444444592,(T
1.21509013116468,1.85555555570397,(T
1.18497988164541,1.80000000014388,(T
1.32738279521572,1.63888888902011,(T
1.11248893797511,1.880555555706,(T
1.07328005224576,1.78333333347609,(T
1.45876960009444,1.91944444459796,(T
